SAMINATURA BINEFAR;;;;;;;;;;;;;;;;;;;;;;
ARTICULOS GENERAL;;;;;;;;;;;;;;;;;;;;;;

Codigo;Referencia;Articulo;Medida;IVA;;Seccion;Tipo;;V;C;S;F
2909;2909;AGUA MAR 2L;UNIDADES;10%;;;NORMAL;;V;C;S; 
2907;2907;agua mar 500g;UNIDADES;10%;;;NORMAL;;V;C;S; 
2559;2559;AJENJO;UNIDADES;10%;;;NORMAL;;V;C;S; 
1822;1822;AJO;UNIDADES;0%;;;NORMAL;;V;C;S; 
3405;3405;ajo en polvo;UNIDADES;10%;;;NORMAL;;V;C;S; 
3349;3349;albaricoces ecologicos;UNIDADES;10%;;;NORMAL;;V;C;S; 
1752;1752;alcachofera;UNIDADES;10%;;;NORMAL;;V;C;S; 
2515;2515;ALCACHOFERA;UNIDADES;10%;;;NORMAL;;V;C;S; 
2521;2521;ALCARAVEA;UNIDADES;10%;;;NORMAL;;V;C;S; 
3455;3455;aldous oregano;UNIDADES;10%;;;NORMAL;;V;C;S; 
2052;2052;aleo vera;UNIDADES;10%;;;NORMAL;;V;C;S; 
2857;2857;alga dulce;UNIDADES;4%;;;NORMAL;;V;C;S; 
2978;2978;ALGA OMEGA;UNIDADES;0%;;;NORMAL;;V;C;S; 
2670;2670;ALGAE OMEGA;UNIDADES;0%;;;NORMAL;;V;C;S; 
2504;2504;ALGARROBA;UNIDADES;10%;;;NORMAL;;V;C;S; 
1389;1389;algarroba c-p-l;UNIDADES;10%;;;NORMAL;;V;C;S; 
3358;3358;almedra repelada 150g;UNIDADES;4%;;;NORMAL;;V;C;S; 
3357;3357;ALMENDRA REPELADA;UNIDADES;4%;;;NORMAL;;V;C;S; 
2780;2780;almidon de tapioca;UNIDADES;10%;;;NORMAL;;V;C;S; 
2856;2856;ALMIDON DE TAPIOCA;UNIDADES;10%;;;NORMAL;;V;C;S; 
2701;2701;ALOE 1L;UNIDADES;10%;;;NORMAL;;V;C;S; 
2702;2702;aloe 500ml;UNIDADES;10%;;;NORMAL;;V;C;S; 
3163;3163;aloe vera cap;UNIDADES;0%;;;NORMAL;;V;C;S; 
2485;2485;ALOEVERA 485;UNIDADES;21%;;;NORMAL;;V;C;S; 
2813;2813;ALOEVERA 500ML;UNIDADES;0%;;;NORMAL;;V;C;S; 
2979;2979;alpha lipoc acid 250mg now;UNIDADES;0%;;;NORMAL;;V;C;S; 
2385;2385;alpha lipoic acid;UNIDADES;0%;;;NORMAL;;V;C;S; 
3160;3160;alpha lipolic acid 600mg;UNIDADES;0%;;;NORMAL;;V;C;S; 
2134;2134;ALUBIA BIO EXTRA;UNIDADES;2%;;;NORMAL;;V;C;S; 
3226;3226;alubias blancas;UNIDADES;4%;;;NORMAL;;V;C;S; 
1769;1769;ALLETAS CAPPELI CACAO;UNIDADES;10%;;;NORMAL;;V;C;S; 
2887;2887;AMARANTO INFLADO;UNIDADES;10%;;;NORMAL;;V;C;S; 
2116;2116;AMLA;UNIDADES;21%;;;NORMAL;;V;C;S; 
1972;1972;anis estellado;UNIDADES;10%;;;NORMAL;;V;C;S; 
1973;1973;ANIS VERDE;UNIDADES;10%;;;NORMAL;;V;C;S; 
2896;2896;ANTIMOSKITOS;UNIDADES;21%;;;NORMAL;;V;C;S; 
2997;2997;antistres;UNIDADES;10%;;;NORMAL;;V;C;S; 
2649;2649;anua cleansing oil;UNIDADES;21%;;;NORMAL;;V;C;S; 
3434;3434;APPLE CIDER VINEGAR;UNIDADES;0%;;;NORMAL;;V;C;S; 

