SAMINATURA BINEFAR;;;;;;;;;;;
ARTICULOS - PROVEEDOR;;;;;;;;;;;

DEPORTE;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2067;aceite de albaricoque;;10012- APROLIS;;3,00;9,97;;0;;
;;;;;;;;;;;
3294;ACEITE DE ALMENDRA;;10012- APROLIS;;4,00;8,86;;0;;
;;;;;;;;;;;

ALIMENTACION-ACEITES;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
767;ACEITE DE ALMENDRA;;3- FELIUBADALO;;4,00;7,61;;0;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2138;ACEITE DE ALMENDRA 500ML;;10- ECOPLAZA;;1,00;6,45;;30;;
;;;;;;;;;;;
1666;aceite de almendra dulce;;10009- faire;;6,00;2,79;;0;;
;;;;;;;;;;;
1663;ACEITE DE ARGAN;;10009- faire;;6,00;3,25;;0;;
;;;;;;;;;;;

COSMETICA;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1258;ACEITE DE BAOBAB 100ML;;10- ECOPLAZA;;1,00;8,75;;0;;
1258;ACEITE DE BAOBAB 100ML;;10009- faire;;3,00;8,75;;0;;
;;;;;;;;;;;
1259;ACEITE DE BAOBAB 50ML;;10009- faire;;2,00;4,95;;0;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2547;aceite de barba;;21-NATURAKOSMETIC;;4,00;3,47;;0;;
;;;;;;;;;;;

ALIMENTACION-ACEITES;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
766;aceite de calabaza;;3- FELIUBADALO;;4,00;6,58;;10;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1256;ACEITE DE CARA 100ML;;10- ECOPLAZA;;1,00;8,75;;0;;
1256;ACEITE DE CARA 100ML;;10009- faire;;3,00;8,75;;0;;
;;;;;;;;;;;

ARTICULOS - PROVEEDOR;;;;;Pagina 4 ;;;Fecha : 03/02/2026;;;
COSMETICA;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1257;ACEITE DE CARA 50ML;;10009- faire;;3,00;4,46;;0;;
;;;;;;;;;;;

ALIMENTACION;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1532;aceite de coco 1l;;5- ECOBASICS;;6,00;5,49;;0;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1976;aceite de coco desodorizado;;10- ECOPLAZA;;6,00;4,97;;0;;
;;;;;;;;;;;
3094;ACEITE DE COCO TOOBIO;;10- ECOPLAZA;;1,00;4,35;;0;;
;;;;;;;;;;;

COSMETICA;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1660;aceite de comino negro;;10009- faire;;6,00;2,95;;0;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1801;ACEITE DE EUCALIPTO;;10012- APROLIS;;7,00;5,14;;0;;
;;;;;;;;;;;
2694;aceite de germen;;3- FELIUBADALO;;1,00;5,62;;0;;
