Handle,Variant SKU,Variant Barcode,Option1 Value,ingredients,nutritional_info,usage_instructions,warnings,allergens,usage_tips,medical_disclaimer,legal_regulation
only-whey-protein-zero,1245,8425252200206,vainilla cream · 1KG,"Only Whey Zero, sabor Vanilla Cream. Complemento alimenticio a base de proteínas con edulcorantes.

Ingredientes: Concentrado de proteína de suero de LECHE Lacprodan® SP-8011V Instant (contiene lecitina de SOJA como emulgente) 97.75%, Aromas, edulcorantes (Glucósidos de esteviol procedentes de estevia, Sucralosa), TolerasaTM L 100,000 ALU/g.","Valor energético: 1667.96 kJ / 399.03 kcal (100 g), 500.44 kJ / 119.72 kcal (30 g). Grasas: 5.97 g (100 g), 1.79 g (30 g), de las cuales saturadas: 3.82 g (100 g), 1.14 g (30 g). Hidratos de carbono: 8.12 g (100 g), 2.44 g (30 g), de los cuales azúcares: 6.26 g (100 g), 1.88 g (30 g). Fibra: 0.02 g (100 g), 0.01 g (30 g). Proteínas: 78.2 g (100 g), 23.46 g (30 g). Sal: 0.39 g (100 g), 0.11 g (30 g).","Modo de empleo: Disolver 30g (1 servicio) mezclados en agua o leche desnatada (200-250ml). Tomar 1-2 servicios al día, preferiblemente 1 batido en el desayuno y 1 batido después del entrenamiento.","Advertencias: Los complementos alimenticios no deben utilizarse como sustitutos de una dieta variada y equilibrada ni de un modo de vida sano. Este producto no está diseñado para diagnosticar, tratar o prevenir ninguna enfermedad. No superar la dosis diaria expresamente recomendada. Mantener fuera del alcance de los niños más pequeños. Una dieta variada y equilibrada y un estilo de vida saludables son importantes. Producto para uso en adultos. Puede contener trazas de gluten, pescado, cacahuete y frutos de cáscara (avellana).",,,,
instant-oats,3810,8435635709721,Cookies Choco Chips · 1.6 kg,"Harina integral de avena (gluten), pepitas de chocolate (2%) [azúcar, pasta de cacao, manteca de cacao, cacao desgrasado en polvo, agente de recubrimiento (E-553b), emulgente (E-322) y aroma], aroma y edulcorante: sucralosa.","Información nutricional (por 100 g): Valor energético: 369 kcal. Grasas: 6,3 g, de las cuales saturadas: 1,5 g. Hidratos de carbono: 62 g, de los cuales azúcares: 2,1 g. Proteínas: 11 g. Fibra: 9,5 g. Sal: 0 g.","Mezclar 100 g con 250 ml de agua, leche o zumo de frutas.",,"Aunque este producto no contiene gluten, leche, pescado, sulfitos, apio y soja, se fabrica en una instalación que procesa ingredientes que sí los contienen.",,,
instant-oats,3809,8435635709752,Croissant · 1.6 kg,"Harina integral de avena (GLUTEN), aroma y edulcorante: sucralosa.","Información nutricional (por 100 g): Valor energético: 380 kcal. Grasas: 7,7 g, de las cuales saturadas: 1,4 g. Hidratos de carbono: 60 g, de los cuales azúcares: 1,8 g. Proteínas: 14 g. Fibra: 9,1 g. Sal: 0 g.","Mezclar 100 g con 250 ml de agua, leche o zumo de frutas.",Producto para adultos,"Aunque este producto no contiene leche y soja, se fabrica en una instalación que procesa ingredientes que sí los contienen.",,,
instant-oats,803,8435635703637,Choco Monky · 1.6 kg,"Harina integral de avena (gluten), galleta Lotus Biscoff (2,6%) [harina de trigo (gluten), azúcar, aceites vegetales (palma*, colza), jarabe de azúcar moreno, gasificante: bicarbonato sódico, sal y canela], cacao desgrasado alcalinizado en polvo, aroma y edulcorante: sucralosa. *Aceite de palma de plantaciones sostenibles y certificadas.","Información nutricional (por 100 g): Valor energético: 371 kcal. Grasas: 7,4 g, de las cuales saturadas: 1,6 g. Hidratos de carbono: 59 g, de los cuales azúcares: 2,1 g. Proteínas: 12 g. Fibra: 9,6 g. Sal: 0,03 g.","Mezclar 100 g con 250 ml de agua, leche o zumo de frutas.",Producto para adultos,Contiene gluten. Puede contener trazas de leche y soja,,,
instant-oats-premium,3807,7427029591778,"Strawberry Cheescake · 1,6 kg","Harina integral de avena (gluten), aromas, colorante: rojo de remolacha y edulcorante: sucralosa.","Información nutricional (por 100 g): Valor energético: 365 kcal. Grasas: 5,9 g, de las cuales saturadas: 1,2 g. Hidratos de carbono: 62 g, de los cuales azúcares: 1,1 g. Proteínas: 11 g. Fibra: 9,4 g. Sal: 0 g.","Mezclar 100 g con agua, leche o zumo de frutas (cantidad según preferencia). Tomar de 1 a 3 veces al día o tal y como sea necesario.",,"Puede contener trazas de leche, soja, huevos, pescado, sulfitos, apio y gluten.",,,
instant-oats-premium,3808,7427029591792,Chocolate Blanco · 1.6 kg,"Harina de integral avena (GLUTEN), aroma y edulcorante: sucralosa.","Información nutricional (por 100 g): Valor energético: 380 kcal. Grasas: 7,8 g, de las cuales saturadas: 1,4 g. Hidratos de carbono: 59 g, de los cuales azúcares: 1,9 g. Proteínas: 14 g. Fibra: 9,3 g. Sal: 0 g.","Mezclar 100 g con 250 ml de agua, leche o zumo de frutas.",Producto para adultos,"Aunque este producto no contiene leche, pescado y soja, se fabrica en una instalación que procesa ingredientes que sí los contienen.",,,
instant-oats-premium,808,8435635703606,Sin Sabor · 1.6 kg,Harina integral de avena (gluten).,"Información nutricional (por 100 g): Valor energético: 367 kcal. Grasas: 6 g, de las cuales saturadas: 1,2 g. Hidratos de carbono: 62 g, de los cuales azúcares: 1,0 g. Proteínas: 12 g. Fibra: 9,6 g. Sal: 0 g.","Mezclar 100 g con 250 ml de agua, leche o zumo de frutas.",,"Puede contener trazas de leche, soja, huevos, pescado, sulfitos, apio y gluten.",,,
tasty-rice,3813,7427116188423,White Chocolate · 1 kg,"Harina pregelatinizada de arroz (98,42%), aroma y edulcorante: sucralosa.","Información nutricional (por 100 g): Valor energético: 359 kcal. Grasas: 0,5 g, de las cuales saturadas: 0,3 g. Hidratos de carbono: 81 g, de los cuales azúcares: 0,6 g. Proteínas: 7,5 g. Fibra: 0,5 g. Sal: 0 g.","Disolver 50 g en 250 ml de agua o leche (se puede añadir más líquido, según la textura deseada). Agitar constantemente o utilizar batidora.",Producto para uso en adultos,Aunque este producto no contiene leche y soja se fabrica en una instalación que procesa ingredientes que sí los contienen.,,,
tasty-rice,3811,8435635720788,Chocolate Dubai · 1 kg,"Harina pregelatinizada de arroz (87,9%), cacaos desgrasados alcalinizados en polvo, aromas y edulcorante: sucralosa.","Información nutricional (por 100 g): Valor energético: 352 kcal. Grasas: 1,5 g, de las cuales saturadas: 0,9 g. Hidratos de carbono: 74 g, de los cuales azúcares: 0,8 g. Proteínas: 8,8 g. Fibra: 3,1 g. Sal: 0,13 g.","Disolver 50 g en 250 ml de agua o leche (se puede añadir más líquido, según la textura deseada). Agitar constantemente o utilizar batidora.",Producto para uso en adultos.,Puede contener trazas de leche y soja.,,,
tasty-rice,3815,8435635711090,ProCao · 1 kg,"Información nutricional (por 100 g): Valor energético: 353 kcal. Grasas: 1,5 g, de las cuales saturadas: 0,9 g. Hidratos de carbono: 75 g, de los cuales azúcares: 0,8 g. Proteínas: 8,7 g. Fibra: 1,5 g. Sal: 0,07 g.","Harina pregelatinizada de arroz (90,22%), cacaos desgrasados alcalinizados en polvo, aromas y edulcorante: sucralosa.","Disolver 50 g en 250 ml de agua o leche (se puede añadir más líquido, según la textura deseada). Agitar constantemente o utilizar batidora.",Producto para uso en adultos.,Aunque este producto no contiene leche y soja se fabrica en una instalación que procesa ingredientes que sí los contienen.,,,
